Column 1,Date,Specimen ID,uid,alpha_est,alpha_stderr,alpha_t,alpha_p,ek_est,ek_stderr,ek_t,ek_p,rETRmax,plant ID,ETRmax,Treatment,Species,RLC Day,Lanai Side,Temperature (°C),specific growth rate,run,lunar phase
112,2021-09-24,ul1-4,2021-09-24_ul1-4,0.81,0.072,11.241,0,113.2,12.3,9.2,0,96.6,ul1,40.57,5-11‰,ul,5,E,30,,1,III
113,2021-09-24,hm4-1,2021-09-24_hm4-1,0.724,0.1,7.25,0,102.5,17,6,0,86.92,hm4,36.51,2-35‰,hm,5,E,27,,1,III
114,2021-09-24,hm4-2,2021-09-24_hm4-2,1.006,0.307,3.273,0.017,46.5,15.7,3,0,54.12,hm4,22.73,3-28‰,hm,5,E,27,,1,III
115,2021-09-24,hm4-3,2021-09-24_hm4-3,1.043,0.119,8.794,0,65.9,8.6,7.7,0,72.39,hm4,30.4,4-18‰,hm,5,E,27,,1,III
116,2021-09-24,hm4-4,2021-09-24_hm4-4,0.742,0.106,6.977,0,110.4,19.2,5.7,0,94.3,hm4,39.61,5-11‰,hm,5,E,27,,1,III
117,2021-09-24,ul4-1,2021-09-24_ul4-1,1.681,4.536,0.371,0.724,20.9,57.7,0.4,0.7,47.12,ul4,19.79,2-35‰,ul,5,E,27,,1,III
118,2021-09-24,ul4-2,2021-09-24_ul4-2,0.958,0.366,2.621,0.04,55.1,23.6,2.3,0.1,64.12,ul4,26.93,3-28‰,ul,5,E,27,,1,III
119,2021-09-24,ul4-3,2021-09-24_ul4-3,0.864,0.147,5.887,0.001,83.2,16.6,5,0,79.38,ul4,33.34,4-18‰,ul,5,E,27,,1,III
120,2021-09-24,ul4-4,2021-09-24_ul4-4,0.785,0.1,7.873,0,111.2,17.2,6.5,0,91.98,ul4,38.63,5-11‰,ul,5,E,27,,1,III
121,2021-09-24,hm3-1,2021-09-24_hm3-1,1,0.096,10.393,0,69.9,7.7,9,0,72.24,hm3,30.34,2-35‰,hm,5,E,27,,1,III
122,2021-09-24,hm3-2,2021-09-24_hm3-2,0.799,0.112,7.137,0,87,14.4,6.1,0,80.36,hm3,33.75,3-28‰,hm,5,E,27,,1,III
123,2021-09-24,hm3-3,2021-09-24_hm3-3,1.035,0.149,6.931,0,76.2,12.8,6,0,83.64,hm3,35.13,4-18‰,hm,5,E,27,,1,III
124,2021-09-24,hm3-4,2021-09-24_hm3-4,0.521,0.166,3.134,0.02,187.1,80.2,2.3,0.1,131.2,hm3,55.1,5-11‰,hm,5,E,27,,1,III
125,2021-09-24,ul3-1,2021-09-24_ul3-1,0.831,0.176,4.714,0.003,63.3,15.3,4.1,0,59.56,ul3,25.02,2-35‰,ul,5,E,27,,1,III
126,2021-09-24,ul3-2,2021-09-24_ul3-2,0.762,0.112,6.78,0.001,70.4,12,5.9,0,58.99,ul3,24.78,3-28‰,ul,5,E,27,,1,III
127,2021-09-24,ul3-3,2021-09-24_ul3-3,0.909,0.314,2.892,0.028,56.2,21.9,2.6,0,59.85,ul3,25.14,4-18‰,ul,5,E,27,,1,III
128,2021-09-24,ul3-4,2021-09-24_ul3-4,1.037,0.525,1.975,0.096,47.8,26.8,1.8,0.1,61.56,ul3,25.86,5-11‰,ul,5,E,27,,1,III
129,2021-09-24,hm6-1,2021-09-24_hm6-1,0.95,0.11,8.621,0,87.3,12,7.3,0,88.64,hm6,37.23,2-35‰,hm,5,E,20,,1,III
130,2021-09-24,hm6-2,2021-09-24_hm6-2,0.768,0.101,7.609,0,117.3,18.9,6.2,0,97.58,hm6,40.98,3-28‰,hm,5,E,20,,1,III
131,2021-09-24,hm6-3,2021-09-24_hm6-3,0.787,0.054,14.622,0,143.5,12.4,11.5,0,113.4,hm6,47.63,4-18‰,hm,5,E,20,,1,III
132,2021-09-24,hm6-4,2021-09-24_hm6-4,0.755,0.044,17.284,0,130,9.4,13.9,0,97.58,hm6,40.98,5-11‰,hm,5,E,20,,1,III
133,2021-09-24,ul6-1,2021-09-24_ul6-1,0.743,0.154,4.824,0.003,86.3,21.1,4.1,0,72.66,ul6,30.52,2-35‰,ul,5,E,20,,1,III
134,2021-09-24,ul6-2,2021-09-24_ul6-2,1.052,0.627,1.678,0.144,43.8,28.6,1.5,0.2,56.72,ul6,23.82,3-28‰,ul,5,E,20,,1,III
135,2021-09-24,ul6-3,2021-09-24_ul6-3,0.794,0.111,7.141,0,101.5,17.1,5.9,0,86.94,ul6,36.51,4-18‰,ul,5,E,20,,1,III
136,2021-09-24,ul6-4,2021-09-24_ul6-4,0.735,0.053,13.866,0,163.6,15.4,10.7,0,117.6,ul6,49.39,5-11‰,ul,5,E,20,,1,III
137,2021-09-24,hm5-1,2021-09-24_hm5-1,0.804,0.059,13.69,0,88.4,7.6,11.6,0,74.76,hm5,31.4,2-35‰,hm,5,E,20,,1,III
138,2021-09-24,hm5-2,2021-09-24_hm5-2,0.692,0.049,14.085,0,156.9,14.4,10.9,0,114.8,hm5,48.22,3-28‰,hm,5,E,20,,1,III
139,2021-09-24,hm5-3,2021-09-24_hm5-3,0.776,0.076,10.203,0,122,14.8,8.3,0,97.58,hm5,40.98,4-18‰,hm,5,E,20,,1,III
140,2021-09-24,hm5-4,2021-09-24_hm5-4,0.826,0.117,7.085,0,105.8,18,5.9,0,94.3,hm5,39.61,5-11‰,hm,5,E,20,,1,III
